Stadium,Split,Set,PA,Hits,Singles,Doubles,Homeruns,Strikeoutper,Walkper,xBA,xSLG,xwOBA,BABIP,AVG,Hits/PA,Singles/PA,Doubles/PA,Homeruns/PA,K_rate,Walk_rate,xBA_avg,xSLG_avg,xwOBA_avg,BABIP_avg,AVG_avg,Hits_boost,Singles_boost,Doubles_boost,Homeruns_boost,K_rate_boost,Walk_rate_boost,xBA_avg_boost,xSLG_avg_boost,xwOBA_avg_boost,BABIP_avg_boost,AVG_avg_boost
"LAA","RHH","",7599,1654,1062,303,267,27.9,9.9,0.22,0.405,0.31,0.246,0.206,0.2176602184,0.139755231,0.03987366759,0.03513620213,0.2346797386,0.07099346405,0.2282026144,0.3620065359,0.2884542484,0.2939117647,0.2405882353,0.979885963,0.9570761017,0.92069968,1.172353181,1.022429807,1.097426385,0.9584168463,0.9500685093,0.9700491817,1.051466893,1.033642281
"LAD","RHH","",6547,1450,902,272,264,24.3,7.7,0.259,0.506,0.356,0.282,0.257,0.221475485,0.1377730258,0.04154574614,0.04032381243,0.2349087719,0.07325263158,0.2403614035,0.3881333333,0.3018280702,0.2898245614,0.2356385965,0.9970619363,0.9435015031,0.959308674,1.345442788,1.023427637,1.132348897,1.009481942,1.018637016,1.015024303,1.036844957,1.012377085
"MIA","RHH","",7057,1566,1044,323,172,16.4,6.7,0.281,0.426,0.332,0.288,0.254,0.2219073261,0.1479382174,0.04577015729,0.02437296302,0.2223309859,0.06455633803,0.2466232394,0.3929225352,0.3067992958,0.291834507,0.2414366197,0.9990060446,1.013115083,1.056852096,0.8132273548,0.9686299651,0.9979204372,1.035780716,1.031206043,1.031742148,1.044035521,1.037287205
"MIL","RHH","",6797,1420,920,268,218,19.8,13.4,0.271,0.451,0.36,0.328,0.28,0.2089156981,0.1353538326,0.03942915992,0.03207297337,0.2361683849,0.05904123711,0.2322680412,0.3748659794,0.291652921,0.2600446735,0.2198453608,0.9405189496,0.926934309,0.910435812,1.070145607,1.028915396,0.9126672757,0.975491031,0.9838174918,0.9808060687,0.9303076559,0.9445244064
"MIN","RHH","",6684,1538,981,346,193,25.6,7.5,0.258,0.514,0.361,0.327,0.276,0.2301017355,0.1467684022,0.05176540993,0.02887492519,0.2464471831,0.06210915493,0.2258169014,0.3719964789,0.2870352113,0.2955211268,0.2465246479,1.03589651,1.005103918,1.19528499,0.9634396533,1.073697062,0.9600915563,0.9483972087,0.9762866276,0.9652770704,1.057224372,1.059146965
"NYM","RHH","",6872,1454,933,280,222,22,8.8,0.281,0.572,0.395,0.304,0.277,0.2115832363,0.1357683353,0.04074505239,0.03230500582,0.2376040956,0.07919112628,0.2318259386,0.3827167235,0.302552901,0.2538430034,0.2134573379,0.9525279574,0.9297729192,0.9408203199,1.077887593,1.03517036,1.224146935,0.973634266,1.004421387,1.017461853,0.9081212326,0.9170794626
"NYY","RHH","",6346,1330,817,260,237,25.1,15.7,0.306,0.733,0.478,0.363,0.324,0.2095808383,0.128742515,0.0409706902,0.03734635991,0.248420339,0.07435254237,0.2241966102,0.3700847458,0.2920305085,0.2522677966,0.2077525424,0.9435133487,0.881658479,0.9460303915,1.246097221,1.082293515,1.149351464,0.9415922279,0.9712693772,0.9820758661,0.9024859434,0.8925698774
"ATH","RHH","",3853,915,572,200,134,19.6,10.7,0.28,0.489,0.366,0.323,0.285,0.2374772904,0.1484557488,0.05190760446,0.03477809499,0.2186124402,0.074215311,0.2411244019,0.4009186603,0.3065741627,0.276937799,0.2406363636,1.069100569,1.016659257,1.198568321,1.160404592,0.9524293676,1.147230123,1.012686421,1.052191483,1.030985043,0.9907426718,1.033849055
"PHI","RHH","",6839,1594,1080,298,190,19.9,6.7,0.274,0.445,0.334,0.311,0.272,0.233075011,0.1579178242,0.04357362187,0.02778183945,0.2476757679,0.06048805461,0.2262389078,0.3505358362,0.2796450512,0.2872696246,0.2307440273,1.049281918,1.081457736,1.006133174,0.926967796,1.079049641,0.9350323724,0.9501695726,0.9199642168,0.9404245374,1.027704692,0.9913484852
"PIT","RHH","",7462,1641,1134,335,152,23.6,12,0.257,0.434,0.344,0.294,0.236,0.2199142321,0.1519699812,0.04489413026,0.02036987403,0.2155508197,0.0652295082,0.2458163934,0.3899278689,0.3048459016,0.2994360656,0.2468754098,0.9900333219,1.040725533,1.036624265,0.6796604403,0.9390907978,1.008326391,1.032392084,1.023346687,1.025173036,1.071230033,1.060653948
